,title,price,mpg,rating
290,2020 Ford EcoSport,"$21,090",28 MPG,3.9 / 5
291,2020 Ford Edge,"$32,345",24 MPG,3.8 / 5
292,2020 Ford Escape,"$26,080",30 MPG,4.3 / 5
293,2021 Ford Explorer,"$33,470",24 MPG,4.1 / 5
294,2019 Ford Flex,"$31,670",19 MPG,3.7 / 5
295,2020 Ford Escape,"$29,450",41 MPG,4.3 / 5
296,2021 Ford Explorer,"$51,100",27 MPG,4.1 / 5
297,2020 Ford Fusion,"$29,195",42 MPG,4.1 / 5
298,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
299,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
300,2019 Ford Fusion Energi,"$35,490",42 MPG,4.1 / 5
301,2020 Ford Fusion Plug-in Hybrid,"$36,195",42 MPG,4.1 / 5
302,2020 Ford Mustang,"$27,765",24 MPG,4.6 / 5
303,2019 Ford Fiesta,"$16,765",30 MPG,4.2 / 5
304,2020 Ford Mustang,"$33,265",23 MPG,4.6 / 5
305,2020 Chrysler 300,"$31,535",23 MPG,4.0 / 5
306,2020 Chrysler Pacifica,"$34,990",22 MPG,4.5 / 5
307,2020 Chrysler Pacifica Hybrid,"$41,490",30 MPG,4.5 / 5
308,2021 Chrysler Voyager,"$28,730",22 MPG,4.5 / 5
309,2020 Chrysler Pacifica Hybrid,"$41,490",30 MPG,4.5 / 5
310,2020 Chrysler Pacifica Hybrid,"$41,490",30 MPG,4.5 / 5
311,2019 Cadillac ATS,"$39,990",25 MPG,4.0 / 5
312,2019 Cadillac ATS-V,"$68,790",19 MPG,4.0 / 5
313,2020 BMW 2 Series,"$38,495",27 MPG,4.5 / 5
314,2020 BMW 3 Series,"$41,745",30 MPG,4.6 / 5
315,2020 BMW 4 Series,"$45,745",27 MPG,4.1 / 5
316,2020 BMW 5 Series,"$54,895",28 MPG,4.6 / 5
317,2019 BMW 6 Series,"$71,295",23 MPG,3.7 / 5
318,2020 BMW 7 Series,"$87,445",24 MPG,
319,2020 BMW 8 Series,"$85,895",24 MPG,
320,2019 BMW M5,"$104,695",17 MPG,4.6 / 5
321,2019 BMW M6,"$122,195",16 MPG,
